hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,328,2016,September,40,30,0,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,B,A,2,No Deposit,1.0,,38,Transient-Party,65.0,0,1,Check-Out,2016-10-02
Resort Hotel,0,7,2017,April,14,3,1,0,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,184.0,,0,Transient,122.0,1,0,Check-Out,2017-04-04
City Hotel,0,31,2016,July,29,10,2,5,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,,0,Transient,127.15,1,2,Check-Out,2016-07-17
Resort Hotel,0,0,2015,November,45,7,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,240.0,,0,Transient,104.0,1,1,Check-Out,2015-11-09
City Hotel,1,364,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
City Hotel,0,63,2016,March,10,5,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Transient-Party,80.3,0,0,Check-Out,2016-03-08
City Hotel,0,167,2017,May,20,18,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,118.8,0,2,Check-Out,2017-05-19
City Hotel,0,23,2017,June,25,18,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,163.33,0,0,Check-Out,2017-06-21
Resort Hotel,0,40,2015,October,43,20,2,5,3,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,115.0,,0,Contract,113.33,0,1,Check-Out,2015-10-27
City Hotel,0,159,2017,July,31,31,1,3,0,2.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,121.88,0,1,Check-Out,2017-08-04
City Hotel,0,0,2016,May,21,20,0,1,1,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,176.0,0,0,Check-Out,2016-05-21
City Hotel,0,80,2015,October,41,9,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,12.0,,50,Transient-Party,136.0,0,0,Check-Out,2015-10-11
City Hotel,1,60,2016,September,36,2,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,123.3,0,0,Canceled,2016-07-09
Resort Hotel,1,112,2016,February,7,12,0,2,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,68.0,0,0,Canceled,2016-02-05
Resort Hotel,0,31,2016,April,17,18,1,1,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,D,D,0,No Deposit,,,0,Transient,75.0,0,0,Check-Out,2016-04-20
City Hotel,0,377,2016,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-10-16
Resort Hotel,0,100,2017,April,16,16,2,1,2,0.0,0,BB,LTU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,1,Check-Out,2017-04-19
Resort Hotel,0,51,2016,April,17,20,0,3,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,75.33,0,1,Check-Out,2016-04-23
City Hotel,0,94,2017,April,14,6,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,117.0,0,1,Check-Out,2017-04-09
City Hotel,1,198,2016,April,18,24,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,,0,Group,95.4,0,0,Canceled,2016-02-22
City Hotel,0,12,2016,July,30,18,1,2,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,134.33,0,0,Check-Out,2016-07-21
City Hotel,0,4,2016,June,27,26,2,0,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,113.0,0,1,Check-Out,2016-06-28
City Hotel,0,39,2017,April,17,26,0,3,3,2.0,0,BB,CHE,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,,0,Transient,289.0,0,0,Check-Out,2017-04-29
City Hotel,0,254,2016,September,40,29,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,100.3,0,1,Check-Out,2016-10-03
City Hotel,0,215,2016,November,48,21,1,2,1,0.0,0,BB,MKD,Groups,Corporate,0,0,0,A,D,2,No Deposit,,233.0,0,Transient,75.0,0,1,Check-Out,2016-11-24
Resort Hotel,0,5,2017,August,32,12,0,1,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,260.0,0,3,Check-Out,2017-08-13
Resort Hotel,1,189,2016,April,18,26,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,248.0,,0,Transient-Party,46.0,0,0,Canceled,2016-03-22
City Hotel,0,55,2016,April,15,6,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,104.0,0,0,Check-Out,2016-04-07
Resort Hotel,0,88,2016,August,32,4,0,3,3,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,283.0,0,0,Check-Out,2016-08-07
Resort Hotel,0,56,2015,December,50,11,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,58.7,0,1,Check-Out,2015-12-16
City Hotel,0,83,2015,December,53,27,2,1,2,0.0,0,BB,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,85.5,0,2,Check-Out,2015-12-30
City Hotel,1,121,2017,January,1,6,2,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,0,Canceled,2016-09-07
City Hotel,0,55,2015,September,37,6,2,0,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,75.0,0,0,Check-Out,2015-09-08
City Hotel,0,0,2017,March,11,14,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,85.0,0,0,Check-Out,2017-03-15
City Hotel,1,440,2016,September,39,22,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,0,112,2016,August,34,16,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,117.9,0,1,Check-Out,2016-08-18
Resort Hotel,0,20,2016,March,11,9,0,4,2,0.0,0,BB,BGR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,95.0,,0,Transient,38.5,0,0,Check-Out,2016-03-13
City Hotel,0,0,2016,January,5,30,1,1,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,110.5,0,2,Check-Out,2016-02-01
Resort Hotel,0,121,2016,October,41,5,2,5,3,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient,64.1,0,0,Check-Out,2016-10-12
Resort Hotel,0,165,2015,December,53,30,0,4,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308.0,,122,Transient-Party,136.5,0,0,Check-Out,2016-01-03
City Hotel,0,72,2017,July,26,1,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,114.0,0,1,Check-Out,2017-07-08
Resort Hotel,0,0,2017,May,19,12,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,1,0,Check-Out,2017-05-13
City Hotel,0,221,2015,October,41,10,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,65.0,0,0,Check-Out,2015-10-13
City Hotel,1,317,2016,September,38,15,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,120.0,0,0,Canceled,2016-02-09
City Hotel,0,150,2017,April,16,19,0,2,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,117.0,0,2,Check-Out,2017-04-21
City Hotel,0,77,2017,March,12,22,2,5,3,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,22.0,,0,Transient,150.0,0,0,Check-Out,2017-03-29
City Hotel,0,0,2017,January,3,17,0,1,1,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,A,0,No Deposit,,408.0,0,Transient,89.0,1,0,Check-Out,2017-01-18
City Hotel,0,5,2015,August,36,31,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,,0,Group,85.0,0,0,Check-Out,2015-09-04
Resort Hotel,0,171,2016,July,32,31,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,96.0,,0,Transient,111.8,0,0,Check-Out,2016-08-04
City Hotel,0,22,2015,December,51,18,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient-Party,65.0,0,0,Check-Out,2015-12-19
Resort Hotel,0,89,2016,May,21,18,2,7,2,0.0,0,HB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,106.7,0,1,Check-Out,2016-05-27
City Hotel,1,5,2016,February,7,11,0,3,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,83.03,0,0,Canceled,2016-02-07
City Hotel,1,15,2016,March,10,4,0,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.0,0,1,Canceled,2016-02-18
City Hotel,1,32,2016,October,43,18,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,150.0,0,0,Canceled,2016-09-26
City Hotel,1,87,2017,April,15,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,95.0,0,0,Canceled,2017-01-18
Resort Hotel,0,36,2016,March,11,10,2,5,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,59.14,2,2,Check-Out,2016-03-17
City Hotel,0,127,2017,August,32,8,0,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,80.1,0,0,Check-Out,2017-08-13
